Well Name,Consistent_Well Name,qld_database_id
M317W,M317W,-1
GC030F,GC030F,-1
GC031F,GC031F,-1
GC032F,GC032F,-1
GC060A,GC060A,-1
GC060V,GC060V,-1
GC061A,GC061A,-1
GC061V,GC061V,-1
GC062A,GC062A,-1
GC062V,GC062V,-1
GC051V,GC051V,-1
GC040A,GC040A,-1
GC040V,GC040V,-1
GC041A,GC041A,-1
GC041V,GC041V,-1
GC042A,GC042A,-1
GC042V,GC042V,-1
SW050F,SW050F,-1
SW051F,SW051F,-1
SW052F,SW052F,-1
MD020F,MD020F,-1
MD021F,MD021F,-1
MD022F,MD022F,-1
M322W,M322W,-1
CD030W,CD030W,-1
CD031W,CD031W,-1
M336W,M336W,-1
M337W,M337W,-1
M338W,M338W,-1
OD001A,OD001A,-1
OD001V,OD001V,-1
OD002A,OD002A,-1
OD002V,OD002V,-1
OD003A,OD003A,-1
CX060F,CX060F,-1
CX061F,CX061F,-1
CX062F,CX062F,-1
OD003V,OD003V,-1
PD026F,PD026F,-1
PD027F,PD027F,-1
PD028F,PD028F,-1
CX092V,CX092V,-1
CX120F,CX120F,-1
CX121F,CX121F,-1
CX122F,CX122F,-1
OD010F,OD010F,-1
CX092A,CX092A,-1
CX030LUA,CX030LUA,-1
CX030LUV,CX030LUV,-1
CX050F,CX050F,-1
CX051F,CX051F,-1
CX052F,CX052F,-1
EF070A,EF070A,-1
EF070V,EF070V,-1
EF071A,EF071A,-1
EF071V,EF071V,-1
EF072A,EF072A,-1
RH037F,RH037F,-1
RH038F,RH038F,-1
RH039F,RH039F,-1
SW031F,SW031F,-1
SW032F,SW032F,-1
SW033F,SW033F,-1
SW034F,SW034F,-1
SW070A,SW070A,-1
Lancewood 130A,Lancewood 130A,-1
LW130V,LW130V,-1
SC082F,SC082F,-1
SC062F,SC062F,-1
SC070F,SC070F,-1
SC071F,SC071F,-1
SC072F,SC072F,-1
SC080F,SC080F,-1
SC081F,SC081F,-1
SC022F,SC022F,-1
SC023F,SC023F,-1
SC060F,SC060F,-1
SC061F,SC061F,-1
Yeronga 167,Yeronga 167,-1
Yeronga 176,Yeronga 176,-1
Yeronga 208,Yeronga 208,-1
SW043C,SW043C,-1
MD011C,MD011C,-1
CX023C,CX023C,-1
Yeronga 237,Yeronga 237,-1
Yeronga 108,Yeronga 108,-1
Daandine-88,Daandine 88,-1
Daandine 179,Daandine 179,-1
Yeronga 230,Yeronga 230,-1
Yeronga 226,Yeronga 226,-1
Daandine 264,Daandine 264,138884
KC002P,KC002P,-1
LW031,LW031,-1
LW032C,LW032C,-1
SC031C,SC031C,-1
SC033C,SC033C,-1
SC009C,SC009C,-1
SC015P,SC015P,-1
SC016C,SC016C,-1
SC017P,SC017P,-1
Yeronga 244,Yeronga 244,-1
Daandine 230,Daandine 230,-1
Wyalla 42,Wyalla 42,-1
M106QA,M106QA,-1
M106QB,M106QB,-1
M115GMV,M115GMV,-1
M116GMA,M116GMA,-1
M116GMB,M116GMB,-1
M116GMV,M116GMV,-1
M114GMA,M114GMA,-1
M115GMA,M115GMA,-1
M115GMB,M115GMB,-1
GR081P,GR081P,-1
Moranbah 467A,Moranbah 467A,-1
Moranbah 467C,Moranbah 467C,-1
Moranbah 16PC,Moranbah 16PC,-1
Moranbah 465A,Moranbah 465A,-1
Moranbah 466A,Moranbah 466A,-1
Moranbah 466C,Moranbah 466C,-1
M187PA,M187PA,-1
Moranbah 166B,Moranbah 166B,-1
M167GMA,M167GMA,-1
M168PA,M168PA,-1
M168PB,M168PB,-1
Moranbah 176B,Moranbah 176B,-1
Moranbah 13PC,Moranbah 13PC,-1
GM062A,GM062A,-1
Moranbah 78PC,Moranbah 78PC,-1
Moranbah 57PC,Moranbah 57PC,-1
Moranbah 59PC,Moranbah 59PC,-1
Moranbah 59GMC,Moranbah 59GMC,-1
GR076A,GR076A,-1
GR076B,GR076B,-1
Moranbah 88PC,Moranbah 88PC,-1
M163GMA,M163GMA,-1
Moranbah 156C,Moranbah 156C,-1
Moranbah 153B,Moranbah 153B,-1
Moranbah 154B,Moranbah 154B,-1
Moranbah 154C,Moranbah 154C,-1
Moranbah 152C,Moranbah 152C,-1
M231W,M231W,140469
M150GMA,M150GMA,-1
M150GMV,M150GMV,-1
CD032W,CD032W,-1
M139GMV,M139GMV,-1
M146GMA,M146GMA,-1
M146GMV,M146GMV,-1
M136GMA,M136GMA,-1
M136GMV,M136GMV,-1
M137GMA,M137GMA,-1
M139GMA,M139GMA,-1
M255W,M255W,-1
M125GMV,M125GMV,-1
Broadmeadow-5,Broadmeadow 5,-1
Broadmeadow-7,Broadmeadow 7,-1
Broadmeadow-13,Broadmeadow 13,-1
M080QA,M080QA,-1
M081QA,M081QA,-1
M081QB,M081QB,-1
Moranbah 12PG,Moranbah 12PG,-1
P013B,P013B,-1
Moranbah 79GMC,Moranbah 79GMC,-1
Moranbah 10PC,Moranbah 10PC,-1
Moranbah 42PC,Moranbah 42PC,-1
GM028A,GM028A,-1
GM029C,GM029C,-1
GM029B,GM029B,-1
GM026B,GM026B,-1
GM026D,GM026D,-1
GM026E,GM026E,-1
GM026,GM026,-1
Q023B,Q023B,-1
Moranbah 57GMC,Moranbah 57GMC,-1
Moranbah 55GMC,Moranbah 55GMC,-1
Moranbah 55PC,Moranbah 55PC,-1
Moranbah 56PC,Moranbah 56PC,-1
Moranbah 56GMC,Moranbah 56GMC,-1
Wyalla 53,Wyalla 53,-1
M147GMV,M147GMV,-1
M084PA,M084PA,-1
Moranbah 465C,Moranbah 465C,-1
GM042A,GM042A,-1
GM042B,GM042B,-1
Moranbah 176V,Moranbah 176V,-1
M158PV,M158PV,-1
M158GMV,M158GMV,-1
M082PA,M082PA,-1
M080PV,M080PV,-1
M081V,M081V,-1
M081PV,M081PV,-1
M080V,M080V,-1
M080GMA,M080GMA,-1
M058GMA,M058GMA,-1
M058PA,M058PA,-1
M059GMB,M059GMB,-1
Moranbah 187GMC,Moranbah 187GMC,-1
GR002,GR002,-1
M059PB,M059PB,-1
Moranbah 153C,Moranbah 153C,-1
Moranbah 154A,Moranbah 154A,-1
Moranbah 152B,Moranbah 152B,-1
M083GMB,M083GMB,-1
M083PB,M083PB,-1
M084GMA,M084GMA,-1
M082GMA,M082GMA,-1
GM012B,GM012B,-1
P012B,P012B,-1
GM040B,GM040B,-1
P025AR,P025AR,-1
GR026,GR026,-1
GM025A,GM025A,-1
P025A,P025A,-1
Moranbah 39GMC,Moranbah 39GMC,-1
GR039,GR039,-1
Stratheden 110,Stratheden 110,-1
Stratheden 117,Stratheden 117,-1
Stratheden 118,Stratheden 118,-1
Stratheden 111,Stratheden 111,-1
Stratheden 112,Stratheden 112,-1
Stratheden 113,Stratheden 113,-1
Moranbah 90V,Moranbah 90V,-1
GM038V,GM038V,-1
P038V,P038V,-1
M079V,M079V,-1
M079PV,M079PV,-1
Moranbah 79GMB,Moranbah 79GMB,-1
GM025V,GM025V,-1
M054V,M054V,-1
GM021V,GM021V,-1
P021V,P021V,-1
GM023V,GM023V,-1
Q023V,Q023V,-1
M061V,M061V,-1
M104V,M104V,-1
M117GMV,M117GMV,-1
M077PB,M077PB,-1
Moranbah 91A,Moranbah 91A,-1
M128GMA,M128GMA,-1
M127GMB,M127GMB,-1
Moranbah 81PC,Moranbah 81PC,-1
P041B,P041B,-1
Wyalla 59,Wyalla 59,-1
GM015A,GM015A,-1
M245W,M245W,140423
M246W,M246W,140422
Moranbah 194A,Moranbah 194A,-1
M149GMB,M149GMB,-1
Moranbah 41PC,Moranbah 41PC,-1
GM037CH,GM037CH,-1
Moranbah 175C,Moranbah 175C,-1
M151GMV,M151GMV,-1
Moranbah 176A,Moranbah 176A,-1
Moranbah 466V,Moranbah 466V,-1
GM035V,GM035V,-1
P014V,P014V,-1
P010V,P010V,-1
GM010V,GM010V,-1
P035V,P035V,-1
M151PV,M151PV,-1
GM024V,GM024V,-1
Moranbah 171A,Moranbah 171A,-1
Moranbah 185V,Moranbah 185V,-1
Moranbah 54GMC,Moranbah 54GMC,-1
Moranbah 54PC,Moranbah 54PC,-1
Moranbah 38PC,Moranbah 38PC,-1
P037A,P037A,-1
GR080PC,GR080PC,-1
M323W,M323W,-1
M312GM,M312GM,-1
M319W,M319W,-1
M321W,M321W,-1
M311GM,M311GM,-1
M073QA,M073QA,-1
