CONSISTENT_ORIG_NAME_NO,arrow_row_id
WARIANNA SRF,-1
ALVA TRUST BORE NO 2,-1
ASHLING TRUST BORE,-1
ARDOCH TRUST BORE NO 1,-1
OLD BANDO TRUST,-1
JANDOWAE NO 1,-1
BORAH TRUST,-1
EAGLE FARM RACECOURS,-1
CABANDA TRUST,-1
O/S PROCLAIMED AREA,-1
CHARLTON TRUST NO 1,-1
CHESTERFIELD BORE,-1
CHIPPEWAY TRUST BORE,-1
OLD CLIFTON TRUST BO,-1
COONGOOLA TRUST BORE,-1
OLD CROYDON BORE,-1
CYPRESS DOWNS BORE,-1
THE OVERFLOW BORE,-1
POWRUNNA BORE,-1
NEABUL TRUST BORE,-1
DALGONALLY TRUST,-1
DILLALAH NO1 TRUST,-1
DILLALAH NO 2 TRUST,-1
DILLALAH TRUST NO 3,-1
DUD BORE,-1
EUTHELLA TRUST BORE,-1
EUGAN TRUST BORE,-1
FAIRLIGHT BORE,-1
BINNERWELL BORE,-1
GLENLYON TRUST,-1
OLD HILLSBOROUGH,-1
HOPELAND TRUST,-1
MOUNTAIN CREEK,-1
INGIE TRUST,-1
JABIRU BWA,-1
JUANBONG NO 1 BORE,-1
JUANBONG NO 4 BORE,-1
JANDOWAE NO 2,-1
JANDOWAE NO 3,-1
KAYWANNA TRUST BORE,-1
MARATHON TRUST BORE,-1
MAROUNGLE TRUST,-1
MAXWELTON NO.1 TRUST BORE,-1
MAXWELTON TRUST BORE,-1
MERRIDEW TRUST,-1
METAVALE TRUST BORE,-1
MIDDLE PARK BWA,-1
MIDDLETON SRF JOB 1684,-1
MINETTA TRUST BORE,-1
MONA TRUST BORE,-1
MOORO TRUST BORE,-1
MOSELLE B.W.A. BORE,-1
MURWEH TRUST BORE,-1
GRIFFITHS BORE,-1
NO NAME,-1
BANGALL CREEK,-1
BRADLEYS CREEK BORE,-1
DARP,-1
MYALL TRUST,-1
NEBINE TRUST BORE,-1
NELIA PONDS BWA,-1
DARBY POINT BORE,-1
NORAH PARK HOMESTEAD,-1
NORTH BURNETT LANDS,-1
NORTH BURNETT LANDS,-1
203M DEPTH,-1
NR CANIA STN,-1
NR CANIA STN,-1
OAKHAMPTON TRUST,-1
PIGURRA TRUST BORE,-1
PRAIRIE TOWN JOB 464,-1
623.6M DEPTH,-1
STAMFORDHAM TRUST,-1
SIXTY FIVE MILE BORE,-1
STACKS 300.5M DEPTH,-1
SESBANTIA TRUST BORE,-1
THOMBY TRUST,-1
TABERNA TRUST NO1,-1
TAROOM ABORIGINAL RESERVE,-1
TOORAK TRUST,-1
WEENGALLON NO 1,-1
WEENGALLON NO 2,-1
WEENGALLON NO 3,-1
WELLSHOT TRUST BORE,-1
THOMPSON WATER SHED,-1
WHYENBAH TRUST,-1
WHYNOT TRUST BORE,-1
WIERBOLLA TRUST,-1
WILD HORSE PLAINS,-1
12 MILE,-1
WINBIN TRUST BORE,-1
WOOLERINA TRUST NO 1,-1
WOOROOROOKA JOB 638,-1
WYCANNA,-1
YANBORRA  TRUST,-1
NORTH YANCHO TRUST,-1
YUNNERMAN TRUST BORE,-1
HOOMOOLOO PARK DUD,-1
SALTY BORE COMP 1910,-1
OGRADYS BELL TOWN,-1
LAFONTS BELL TOWN,-1
BRIGALOW WELL NO 1,-1
BURNCLUITH,-1
BURNCLUITH,-1
BORE LOST,-1
CANAGA EST NTH WARRA,-1
CANAGA EST NTH WARRA,-1
CANAGA ESTATE,-1
COOYAR DEPTH 164M,-1
DULACCA TOWN,-1
DULACCA TOWN BORE,-1
WILSONS BORE,-1
MACS GULLY,-1
JACKSONS NO 1,-1
JACKSONS NO 2,-1
ROSSLYN S/SMENT NO 1,-1
ROSSLYN S SMENT NO 2,-1
JIMBOUR WELL NO 1,-1
JIMBOUR WELL NO 2,-1
JIMBOUR WELL NO 3,-1
JIMBOUR WELL NO 4,-1
KAIMKILLENBUN,-1
BEVERLEY NO 1 BORE,-1
BEVERLEY NO 2 BORE,-1
MOUNT HUTTON NO.1,-1
MT HUTTON NO 9,-1
ALLENS BORE,-1
MUNGALLALA TOWN,-1
O/S PROCLAIMED AREA,-1
O/S PROCLAIMED AREA,-1
O/S PROC. AREA,-1
BRIXTON SRF JOB 1686,-1
WARREAH R. SIDING,-1
MUCKADILLA TOWN BORE NO 1,-1
MARIA CREEK RAILWAY BORE,-1
JERICHO NO 2 RAILWAY BORE,-1
FORREST S.R.F.,-1
ALICE RIVER STATION,-1
